kepid,koi_smet,koi_smet_err1,koi_smet_err2,koi_smass,koi_smass_err1,koi_smass_err2
10797460,0.14,0.15,-0.15,0.919,0.052000000000000005,-0.046
10811496,-0.18,0.3,-0.3,0.961,0.11,-0.121
10848459,-0.52,0.3,-0.3,0.836,0.09300000000000001,-0.077
10854555,0.07,0.25,-0.3,1.095,0.151,-0.136
10872983,-0.08,0.25,-0.3,1.053,0.135,-0.15
6721123,0.0,0.15,-0.15,1.358,0.121,-0.207
10910878,0.16,0.15,-0.15,0.8009999999999999,0.052000000000000005,-0.03
11446443,-0.06,0.15,-0.15,0.971,0.062,-0.055999999999999994
10666592,0.14,0.15,-0.15,1.449,0.07,-0.091
6922244,-0.04,0.15,-0.15,1.1320000000000001,0.10800000000000001,-0.078
10984090,-0.04,0.15,-0.15,0.9740000000000001,0.066,-0.066
10419211,-0.2,0.25,-0.3,0.938,0.098,-0.109
10464078,-0.54,0.35,-0.3,0.657,0.085,-0.036000000000000004
10480982,-0.22,0.25,-0.35,1.025,0.139,-0.139
10485250,-0.2,0.3,-0.3,0.741,0.106,-0.057
10526549,-0.3,0.3,-0.3,0.6759999999999999,0.08800000000000001,-0.047
10583066,0.21,0.2,-0.3,0.7609999999999999,0.033,-0.067
10583180,0.1,0.25,-0.3,0.7809999999999999,0.078,-0.055999999999999994
10601284,0.16,0.15,-0.15,0.831,0.057999999999999996,-0.032
2306756,0.44,0.10099999999999999,-0.10099999999999999,1.103,0.09699999999999999,-0.09699999999999999
10662202,0.18,0.15,-0.15,0.7909999999999999,0.05,-0.028999999999999998
10682541,0.18,0.2,-0.3,0.9309999999999999,0.063,-0.094
11460018,-0.14,0.3,-0.3,0.9279999999999999,0.094,-0.115
11463211,-0.2,0.3,-0.3,0.9259999999999999,0.09,-0.11
11465813,0.48,0.05,-0.15,1.03,0.042,-0.057999999999999996
11493732,0.0,0.25,-0.3,1.093,0.166,-0.135
11507101,0.16,0.15,-0.15,0.915,0.061,-0.042
10987985,0.1,0.25,-0.25,0.785,0.085,-0.055999999999999994
11018648,-0.3,0.3,-0.3,0.8440000000000001,0.09699999999999999,-0.078
11138155,0.1,0.15,-0.15,0.976,0.073,-0.055
11152159,-0.04,0.3,-0.3,0.889,0.102,-0.083
11153539,-0.12,0.25,-0.35,1.048,0.139,-0.139
11242721,-0.12,0.3,-0.3,1.014,0.153,-0.126
9579641,-0.06,0.15,-0.15,0.941,0.07400000000000001,-0.054000000000000006
11304958,0.22,0.2,-0.3,0.93,0.092,-0.07400000000000001
11391957,-0.28,0.3,-0.3,0.862,0.08900000000000001,-0.09699999999999999
11403044,0.1,0.2,-0.3,1.162,0.158,-0.158
11414511,0.14,0.15,-0.15,0.941,0.053,-0.047
11442465,-0.24,0.3,-0.3,0.782,0.063,-0.087
12110942,-0.06,0.3,-0.3,1.01,0.11599999999999999,-0.139
12366084,0.16,0.15,-0.15,1.0070000000000001,0.055999999999999994,-0.062
12404086,0.02,0.25,-0.3,0.846,0.064,-0.08800000000000001
8395660,-0.12,0.15,-0.15,0.951,0.07,-0.063
11656840,-0.3,0.3,-0.3,0.981,0.128,-0.128
11754553,0.04,0.15,-0.15,0.633,0.028999999999999998,-0.035
11812062,-0.1,0.3,-0.3,0.907,0.07400000000000001,-0.102
11818800,-0.54,0.35,-0.3,0.7140000000000001,0.10400000000000001,-0.037000000000000005
11853255,-0.32,0.15,-0.15,0.578,0.027000000000000003,-0.037000000000000005
11909839,-0.54,0.3,-0.3,0.77,0.11800000000000001,-0.047
11918099,0.14,0.15,-0.15,0.85,0.025,-0.054000000000000006
11923270,0.0,0.15,-0.15,0.503,0.035,-0.053
11960862,-0.32,0.3,-0.3,0.927,0.129,-0.09699999999999999
12020329,0.21,0.2,-0.3,0.986,0.065,-0.115
12066335,-0.24,0.15,-0.15,0.5760000000000001,0.031,-0.035
12070811,-0.4,0.3,-0.3,0.8320000000000001,0.08,-0.08900000000000001
3120431,-0.02,0.3,-0.3,0.853,0.078,-0.078
3246984,-0.18,0.3,-0.3,0.889,0.12,-0.09
3342970,0.07,0.25,-0.3,1.169,0.141,-0.17300000000000001
12459725,-0.1,0.24,-0.26,0.975,0.098,-0.109
12470844,-0.08,0.3,-0.3,0.884,0.061,-0.113
12644822,-0.02,0.25,-0.3,0.992,0.11199999999999999,-0.11199999999999999
2440757,0.02,0.15,-0.15,1.083,0.1,-0.08199999999999999
2445129,0.07,0.25,-0.3,1.05,0.14,-0.127
2713049,0.14,0.15,-0.15,0.9209999999999999,0.067,-0.038
3114167,-0.84,0.3,-0.3,0.767,0.057999999999999996,-0.071
3114661,-0.72,0.3,-0.3,0.7090000000000001,0.06,-0.06
3115833,-0.52,0.3,-0.3,0.885,0.099,-0.099
4139816,-0.46,0.15,-0.15,0.502,0.031,-0.038
4275191,-0.3,0.3,-0.3,0.866,0.08199999999999999,-0.1
4476123,-0.34,0.3,-0.3,0.821,0.076,-0.09300000000000001
3351888,0.16,0.15,-0.15,0.935,0.062,-0.043
3453214,-0.1,0.15,-0.15,0.9279999999999999,0.052000000000000005,-0.057999999999999996
3554600,-0.18,0.3,-0.3,0.919,0.083,-0.10400000000000001
3641726,-0.12,0.3,-0.3,0.8240000000000001,0.096,-0.078
3734868,-0.1,0.3,-0.25,0.8740000000000001,0.125,-0.073
3832474,0.21,0.15,-0.2,0.986,0.035,-0.08199999999999999
3836375,0.21,0.2,-0.3,1.034,0.08900000000000001,-0.122
3838486,0.1,0.25,-0.3,0.737,0.057999999999999996,-0.057999999999999996
3935914,-0.38,0.3,-0.3,0.9009999999999999,0.11,-0.09
3940418,0.18,0.2,-0.3,0.8909999999999999,0.053,-0.084
4049131,-0.04,0.3,-0.3,0.7390000000000001,0.085,-0.054000000000000006
5287983,-0.04,0.25,-0.3,1.03,0.124,-0.138
5358241,0.16,0.15,-0.15,1.026,0.062,-0.062
10875245,0.26,0.1,-0.1,1.113,0.092,-0.05
5358624,0.08,0.15,-0.15,0.855,0.035,-0.049
4544670,-0.16,0.3,-0.3,0.84,0.111,-0.07400000000000001
4664847,0.36,0.1,-0.3,1.181,0.121,-0.151
4725681,0.1,0.15,-0.15,0.536,0.035,-0.039
4913852,0.28,0.15,-0.15,0.5529999999999999,0.027000000000000003,-0.044000000000000004
4932348,0.36,0.1,-0.3,1.051,0.066,-0.132
4936180,-1.66,0.3,-0.2,0.7859999999999999,0.062,-0.045
11913073,-0.04,0.3,-0.3,0.9259999999999999,0.075,-0.10800000000000001
5021899,0.08,0.25,-0.3,0.934,0.113,-0.085
5077629,-0.4,0.3,-0.3,0.852,0.08900000000000001,-0.08900000000000001
5115978,-0.44,0.28,-0.3,0.9590000000000001,0.121,-0.111
5164255,0.16,0.15,-0.15,0.7929999999999999,0.054000000000000006,-0.028999999999999998
5252423,-0.08,0.3,-0.3,0.733,0.075,-0.061
5272878,-0.18,0.3,-0.3,0.9390000000000001,0.098,-0.109
5283542,-0.08,0.25,-0.3,1.072,0.153,-0.153
5649215,-0.12,0.3,-0.3,0.9590000000000001,0.10300000000000001,-0.124
5651104,-0.06,0.3,-0.3,0.754,0.095,-0.055
5792202,0.21,0.15,-0.15,0.9259999999999999,0.032,-0.064
5370302,-0.06,0.25,-0.3,0.9890000000000001,0.11599999999999999,-0.11599999999999999
5372966,-0.4,0.3,-0.3,0.82,0.106,-0.071
5376067,-0.38,0.3,-0.3,0.953,0.107,-0.11900000000000001
5436502,0.3,0.1,-0.15,1.083,0.1,-0.075
5456651,0.16,0.15,-0.15,0.8490000000000001,0.025,-0.06
5481416,-0.22,0.3,-0.3,0.6829999999999999,0.086,-0.053
5531576,0.18,0.15,-0.15,0.759,0.046,-0.027000000000000003
5534814,-0.1,0.25,-0.3,1.05,0.139,-0.153
6291653,-0.2,0.3,-0.3,0.82,0.096,-0.078
6392727,-0.12,0.3,-0.3,0.973,0.105,-0.126
6422070,0.1,0.25,-0.3,0.9740000000000001,0.1,-0.111
6428700,0.1,0.25,-0.3,0.785,0.078,-0.055999999999999994
5794379,-0.22,0.3,-0.3,0.67,0.081,-0.05
5881688,0.2,0.2,-0.3,1.163,0.151,-0.151
6022556,0.14,0.15,-0.15,1.013,0.055999999999999994,-0.062
6032497,-0.06,0.3,-0.3,0.9890000000000001,0.127,-0.115
6061119,-0.52,0.3,-0.3,0.865,0.08800000000000001,-0.096
6191521,0.16,0.15,-0.1,0.932,0.066,-0.044000000000000004
6267425,-0.36,0.35,-0.3,0.68,0.09300000000000001,-0.043
3531558,0.0,0.15,-0.15,0.961,0.08199999999999999,-0.055
6276477,0.02,0.25,-0.3,0.8909999999999999,0.099,-0.08199999999999999
6863998,0.0,0.25,-0.3,0.83,0.085,-0.07
6867155,0.12,0.15,-0.15,0.6659999999999999,0.031,-0.031
6948054,0.04,0.15,-0.15,0.823,0.040999999999999995,-0.047
6435936,0.26,0.15,-0.15,0.503,0.036000000000000004,-0.054000000000000006
6522242,-0.46,0.3,-0.3,0.7859999999999999,0.094,-0.07
6526710,-0.18,0.3,-0.3,1.041,0.139,-0.139
6587280,0.24,0.2,-0.3,0.927,0.047,-0.095
9471974,0.36,0.1,-0.15,1.247,0.08199999999999999,-0.067
6599919,-0.26,0.3,-0.3,0.857,0.11699999999999999,-0.07200000000000001
6675056,0.08,0.25,-0.3,0.769,0.083,-0.055999999999999994
6685526,0.14,0.15,-0.15,0.91,0.027000000000000003,-0.066
6756669,-0.34,0.3,-0.3,0.804,0.1,-0.07200000000000001
6784235,-0.02,0.25,-0.3,1.026,0.115,-0.14
6849310,0.16,0.15,-0.15,0.956,0.044000000000000004,-0.059000000000000004
6862328,0.16,0.15,-0.15,0.904,0.062,-0.039
6862603,-0.04,0.25,-0.3,1.09,0.139,-0.153
7366258,0.16,0.15,-0.15,0.915,0.051,-0.051
7373451,-0.08,0.15,-0.15,0.789,0.044000000000000004,-0.044000000000000004
6949607,-0.18,0.15,-0.15,0.586,0.028999999999999998,-0.036000000000000004
7031517,-0.42,0.3,-0.3,0.895,0.08900000000000001,-0.099
11869052,0.0,0.3,-0.25,0.937,0.151,-0.08800000000000001
7109675,0.42,0.05,-0.15,0.882,0.04,-0.028999999999999998
7118364,0.16,0.15,-0.15,1.014,0.07400000000000001,-0.055999999999999994
7134976,0.16,0.15,-0.15,0.7929999999999999,0.05,-0.028999999999999998
7135852,-0.06,0.15,-0.15,0.544,0.114,-0.114
7270230,-0.12,0.3,-0.3,0.9259999999999999,0.085,-0.114
7287995,-0.06,0.15,-0.15,0.64,0.035,-0.028999999999999998
3247396,-0.12,0.15,-0.15,1.3330000000000002,0.163,-0.19899999999999998
7303253,-0.24,0.3,-0.3,0.6970000000000001,0.09,-0.053
5094751,-0.08,0.1,-0.1,1.0090000000000001,0.057,-0.047
7678434,0.18,0.15,-0.15,0.8220000000000001,0.053,-0.028999999999999998
7685981,-0.24,0.3,-0.3,0.968,0.132,-0.12
7708215,0.07,0.25,-0.3,1.036,0.113,-0.139
7377033,-1.24,0.3,-0.3,0.602,0.048,-0.018000000000000002
7380537,-0.4,0.35,-0.3,0.6990000000000001,0.059000000000000004,-0.07200000000000001
7434875,0.21,0.2,-0.35,0.8909999999999999,0.039,-0.09699999999999999
8349582,0.3,0.15,-0.15,1.053,0.115,-0.057
7455287,-0.12,0.15,-0.15,0.484,0.038,-0.053
7458762,-0.02,0.25,-0.3,1.014,0.113,-0.126
7552344,-0.54,0.35,-0.3,0.718,0.111,-0.044000000000000004
757450,-0.08,0.15,-0.15,0.821,0.061,-0.04
7585481,0.07,0.2,-0.35,1.169,0.141,-0.17300000000000001
7663691,-0.02,0.25,-0.3,1.079,0.13,-0.145
5812701,0.07,0.15,-0.15,1.386,0.09300000000000001,-0.076
8013419,-0.14,0.1,-0.1,0.563,0.11199999999999999,-0.11199999999999999
8018547,-0.36,0.1,-0.15,0.526,0.034,-0.046
8039892,-0.34,0.3,-0.3,0.914,0.099,-0.109
8150320,-0.02,0.15,-0.15,0.71,0.028999999999999998,-0.043
11086270,-0.16,0.15,-0.15,1.0190000000000001,0.098,-0.098
7767559,-0.26,0.3,-0.3,0.8109999999999999,0.127,-0.057999999999999996
7825899,0.34,0.1,-0.15,0.937,0.024,-0.062
7849854,0.14,0.15,-0.15,1.0490000000000002,0.07,-0.064
7870390,-0.32,0.15,-0.15,0.508,0.037000000000000005,-0.033
7907423,0.0,0.15,-0.15,0.44,0.040999999999999995,-0.076
7938496,-0.04,0.25,-0.3,1.0090000000000001,0.152,-0.124
8490993,-0.04,0.25,-0.35,1.077,0.126,-0.153
8505670,-0.2,0.15,-0.1,0.609,0.124,-0.10099999999999999
8544996,-0.3,0.3,-0.3,0.8859999999999999,0.08800000000000001,-0.107
8552202,-0.54,0.3,-0.3,0.813,0.08,-0.08
8180063,-0.34,0.3,-0.3,0.914,0.08900000000000001,-0.109
8226994,0.14,0.15,-0.15,0.7979999999999999,0.057999999999999996,-0.026000000000000002
8247638,-0.18,0.15,-0.15,0.841,0.06,-0.043
8255887,0.14,0.25,-0.25,0.94,0.113,-0.085
8256049,-0.28,0.3,-0.3,0.58,0.064,-0.052000000000000005
8414716,0.21,0.2,-0.35,0.915,0.044000000000000004,-0.102
9140402,-0.08,0.15,-0.15,0.9279999999999999,0.039,-0.078
9141746,0.14,0.2,-0.3,1.159,0.16399999999999998,-0.16399999999999998
9159275,-0.36,0.3,-0.3,0.843,0.079,-0.09699999999999999
9166862,0.21,0.2,-0.25,1.153,0.125,-0.152
9166870,0.07,0.25,-0.3,1.075,0.115,-0.14
11449844,0.16,0.15,-0.15,0.973,0.040999999999999995,-0.07
8605074,-0.24,0.25,-0.3,0.9890000000000001,0.152,-0.11
8628973,0.16,0.2,-0.3,0.983,0.094,-0.105
8655354,-0.6,0.3,-0.3,0.825,0.096,-0.07
8672910,0.14,0.15,-0.15,0.8440000000000001,0.06,-0.033
8686150,0.21,0.2,-0.35,1.2329999999999999,0.153,-0.187
8689031,-0.5,0.3,-0.3,0.8059999999999999,0.073,-0.09
8689373,0.04,0.25,-0.3,0.8690000000000001,0.064,-0.092
8826878,-0.14,0.3,-0.3,0.816,0.11800000000000001,-0.063
5897826,0.16,0.15,-0.15,1.1740000000000002,0.133,-0.133
8883593,-0.16,0.3,-0.3,0.983,0.12,-0.12
8951215,-0.12,0.25,-0.3,1.091,0.155,-0.155
9016295,-0.08,0.25,-0.3,1.072,0.13699999999999998,-0.15
9077124,0.02,0.25,-0.3,1.072,0.13,-0.145
9097120,-0.38,0.3,-0.3,0.991,0.12300000000000001,-0.136
9466668,0.16,0.15,-0.15,0.9490000000000001,0.08,-0.046
9479273,-0.36,0.15,-0.15,0.71,0.048,-0.031
8359498,0.2,0.15,-0.15,0.95,0.057999999999999996,-0.057999999999999996
9171801,-0.14,0.3,-0.3,0.857,0.091,-0.091
9334289,0.16,0.15,-0.15,0.943,0.062,-0.048
9347899,-0.28,0.15,-0.15,0.958,0.076,-0.068
9388479,0.18,0.15,-0.15,0.491,0.034,-0.063
11359879,0.36,0.1,-0.15,1.003,0.046,-0.061
9406990,0.21,0.2,-0.3,0.9990000000000001,0.067,-0.11699999999999999
9415172,0.16,0.15,-0.1,0.867,0.064,-0.032
9904059,0.07,0.1,-0.25,2.15,0.05,-0.858
