KepID,kepler_name,exoplanet_archive_disposition,disposition_using_kepler_data,orbital_period[days],stellar_effective_temperature,stellar_surface_gravity,stellar_radius[solar_radii],stellar_metallicity,stellar_mass[solar_mass]
8559644,Kepler-111 c,CONFIRMED,CANDIDATE,224.7789355,5873.0,4.293,1.235,0.18,1.092
11027624,Kepler-849 b,CONFIRMED,CANDIDATE,394.6249514,5910.0,4.03,1.727,0.14,1.164
9517393,Kepler-1085 b,CONFIRMED,CANDIDATE,219.3215562,6063.0,4.476,1.012,0.07,1.117
11442793,Kepler-90 g,CONFIRMED,CANDIDATE,210.6013843,5970.0,4.317,1.2,0.1,1.089
3103227,Kepler-1550 b,CONFIRMED,CANDIDATE,225.585245,5929.0,4.243,1.363,0.3,1.185
2581316,Kepler-1514 b,CONFIRMED,CANDIDATE,217.83184293,6259.0,4.385,1.167,0.14,1.21
10795103,Kepler-1515 b,CONFIRMED,CANDIDATE,214.3120439,6471.0,4.287,1.357,0.16,1.303
11518142,Kepler-1519 b,CONFIRMED,CANDIDATE,240.7990472,5758.0,4.168,1.385,0.12,1.029
8636434,Kepler-1533 b,CONFIRMED,CANDIDATE,308.544422,6325.0,4.274,1.349,0.14,1.252
8891684,Kepler-1634 b,CONFIRMED,CANDIDATE,374.878133,5636.0,4.218,1.354,0.42,1.103
